,query,state
0,"""Ag0.05Zr0.95""",Empty showing fixed spelling results
1,"""Al0.15Cr0.85""",Fully empty
2,"""Al0.1Fe0.9""",Results for exact spelling
3,"""Al0.1Hf0.9""",Empty showing fixed spelling results
4,"""Al0.1Ti0.9""",Results for exact spelling
5,"""Al0.1W0.9""",Results for exact spelling
6,"""Al0.2Fe0.8""",Results for exact spelling
7,"""Al0.2Ti0.8""",Results for exact spelling
8,"""Al0.2V0.8""",Empty showing fixed spelling results
9,"""Al0.3Cr0.7""",Results for exact spelling
10,"""Al0.3Nb1Ta0.8Ti1.4V0.2Zr1.3""",Results for exact spelling
11,"""Al0.4Hf0.6Nb1Ta1Ti1Zr1""",Results for exact spelling
12,"""Al0.4V0.6""",Results for exact spelling
13,"""Al0.75Hf1Nb1Ta1Ti1Zr1""",Results for exact spelling
14,"""Al1Cr0.5Nb1Ti1V1""",Results for exact spelling
15,"""Al1Cr1Mo1Ti1W1""",Results for exact spelling
16,"""Al1Nb1.5Ta0.5Ti1.5Zr0.5""",Results for exact spelling
17,"""Al1Nb1Ta1Ti1V1""",Results for exact spelling
18,"""Al1Nb1Ti1V1""",Results for exact spelling
19,"""Au0.05Ta0.95""",Empty showing fixed spelling results
20,"""Au0.05Ti0.95""",Empty showing fixed spelling results
21,"""Au0.08V0.92""",Empty showing fixed spelling results
22,"""Au0.1Nb0.9""",Empty showing fixed spelling results
23,"""Au0.1Zr0.9""",Fully empty
24,"""Ba0.25Ca0.75""",Results for exact spelling
25,"""Ba0.25Eu0.75""",Empty showing fixed spelling results
26,"""Ba0.25Eu0.75""",Empty showing fixed spelling results
27,"""Ba0.25Sr0.75""",Results for exact spelling
28,"""Ba0.25Yb0.75""",Empty showing fixed spelling results
29,"""Ba0.5Ca0.5""",Results for exact spelling
30,"""Ba0.5Eu0.5""",Results for exact spelling
31,"""Ba0.5Eu0.5""",Results for exact spelling
32,"""Ba0.5Sr0.5""",Results for exact spelling
33,"""Ba0.5Yb0.5""",Results for exact spelling
34,"""Ba0.75Ca0.25""",Results for exact spelling
35,"""Ba0.75Eu0.25""",Results for exact spelling
36,"""Ba0.75Eu0.25""",Results for exact spelling
37,"""Ba0.75Sr0.25""",Results for exact spelling
38,"""Ba0.75Yb0.25""",Empty showing fixed spelling results
39,"""Be0.02W0.98""",Empty showing fixed spelling results
40,"""Ca0.25Sr0.75""",Results for exact spelling
41,"""Ca0.5Sr0.5""",Results for exact spelling
42,"""Ca0.75Sr0.25""",Results for exact spelling
43,"""Ca0.7Yb0.3""",Empty showing fixed spelling results
44,"""Ca0.85Yb0.15""",Empty showing fixed spelling results
45,"""Co0.1Cr0.9""",Empty showing fixed spelling results
46,"""Cr0.05Ta0.95""",Empty showing fixed spelling results
47,"""Cr0.1Nb0.9""",Results for exact spelling
48,"""Cr0.25Fe0.75""",Results for exact spelling
49,"""Cr0.25Mo0.75""",Results for exact spelling
50,"""Cr0.25V0.75""",Results for exact spelling
51,"""Cr0.2W0.8""",Results for exact spelling
52,"""Cr0.5Fe0.5""",Results for exact spelling
53,"""Cr0.5Mn0.5""",Results for exact spelling
54,"""Cr0.5Mo0.5""",Results for exact spelling
55,"""Cr0.5V0.5""",Results for exact spelling
56,"""Cr0.75Fe0.25""",Results for exact spelling
57,"""Cr0.75Mn0.25""",Results for exact spelling
58,"""Cr0.75Mo0.25""",Results for exact spelling
59,"""Cr0.75V0.25""",Results for exact spelling
60,"""Cr0.85Ru0.15""",Empty showing fixed spelling results
61,"""Cr0.8Re0.2""",Results for exact spelling
62,"""Cr0.95Ir0.05""",Empty showing fixed spelling results
63,"""Cr0.9Os0.1""",Empty showing fixed spelling results
64,"""Cr0.9W0.1""",Results for exact spelling
65,"""Cr1Mo1Nb1Re1Ta1V1W1""",Results for exact spelling
66,"""Cr1Mo1Nb1Ta1V1W1""",Results for exact spelling
67,"""Cs0.25Rb0.75""",Results for exact spelling
68,"""Cs0.5Rb0.5""",Results for exact spelling
69,"""Cs0.75Rb0.25""",Results for exact spelling
70,"""Fe0.1V0.9""",Results for exact spelling
71,"""Fe0.85Zn0.15""",Results for exact spelling
72,"""Fe0.8V0.2""",Results for exact spelling
73,"""Fe0.93Si0.07""",Results for exact spelling
74,"""Fe0.9Ga0.1""",Results for exact spelling
75,"""Fe0.9Rh0.1""",Results for exact spelling
76,"""Ga0.15Ti0.85""",Empty showing fixed spelling results
77,"""Hf0.25Nb0.75""",Empty showing fixed spelling results
78,"""Hf0.25Ta0.75""",Results for exact spelling
79,"""Hf0.25Ti0.75""",Results for exact spelling
80,"""Hf0.25Zr0.75""",Results for exact spelling
81,"""Hf0.5Nb0.5""",Results for exact spelling
82,"""Hf0.5Ta0.5""",Results for exact spelling
83,"""Hf0.5Ti0.5""",Results for exact spelling
84,"""Hf0.5Zr0.5""",Results for exact spelling
85,"""Hf0.75Nb0.25""",Results for exact spelling
86,"""Hf0.75Ta0.25""",Empty showing fixed spelling results
87,"""Hf0.75Ti0.25""",Results for exact spelling
88,"""Hf0.75Zr0.25""",Results for exact spelling
89,"""Hf1Mo1Nb1Ti1Zr1""",Results for exact spelling
90,"""Hf1Nb1Ta1Ti1V1Zr1""",Results for exact spelling
91,"""Hf1Nb1Ta1Ti1Zr1""",Results for exact spelling
92,"""Hf1Nb1Ta1Zr1""",Results for exact spelling
93,"""Hf1Nb1Ti1V1Zr1""",Results for exact spelling
94,"""Hf1Nb1Ti1Zr1""",Results for exact spelling
95,"""Ir0.02W0.98""",Empty showing fixed spelling results
96,"""Ir0.05Mo0.95""",Empty showing fixed spelling results
97,"""Ir0.05Nb0.95""",Empty showing fixed spelling results
98,"""Ir0.05Ta0.95""",Empty showing fixed spelling results
99,"""Ir0.05Ti0.95""",Empty showing fixed spelling results
100,"""Ir0.1V0.9""",Empty showing fixed spelling results
101,"""Li0.35Mg0.65""",Results for exact spelling
102,"""Li0.5Mg0.5""",Results for exact spelling
103,"""Li0.85Mg0.15""",Results for exact spelling
104,"""Mn0.25V0.75""",Results for exact spelling
105,"""Mn0.5V0.5""",Results for exact spelling
106,"""Mn0.6V0.4""",Empty showing fixed spelling results
107,"""Mn0.7V0.3""",Results for exact spelling
108,"""Mo0.25Nb0.75""",Fully empty
109,"""Mo0.25Ta0.75""",Empty showing fixed spelling results
110,"""Mo0.25Ti0.75""",Results for exact spelling
111,"""Mo0.25V0.75""",Results for exact spelling
112,"""Mo0.25W0.75""",Results for exact spelling
113,"""Mo0.5Nb0.5""",Results for exact spelling
114,"""Mo0.5Ta0.5""",Results for exact spelling
115,"""Mo0.5Ti0.5""",Results for exact spelling
116,"""Mo0.5V0.5""",Results for exact spelling
117,"""Mo0.5W0.5""",Results for exact spelling
118,"""Mo0.75Nb0.25""",Results for exact spelling
119,"""Mo0.75Re0.25""",Results for exact spelling
120,"""Mo0.75Ta0.25""",Results for exact spelling
121,"""Mo0.75Ti0.25""",Results for exact spelling
122,"""Mo0.75V0.25""",Results for exact spelling
123,"""Mo0.75W0.25""",Results for exact spelling
124,"""Mo0.7Tc0.3""",Empty showing fixed spelling results
125,"""Mo0.8Tc0.2""",Empty showing fixed spelling results
126,"""Mo0.95Os0.05""",Empty showing fixed spelling results
127,"""Mo0.95Rh0.05""",Empty showing fixed spelling results
128,"""Mo0.98Pd0.02""",Empty showing fixed spelling results
129,"""Mo0.9Re0.1""",Results for exact spelling
130,"""Mo0.9Ru0.1""",Fully empty
131,"""Mo0.9Tc0.1""",Results for exact spelling
132,"""Mo1Nb1Re1Ta1Ti1V1W1""",Results for exact spelling
133,"""Mo1Nb1Re1Ta1V1W1""",Results for exact spelling
134,"""Mo1Nb1Re1Ta1W1""",Results for exact spelling
135,"""Mo1Nb1Ta1Ti1V1""",Results for exact spelling
136,"""Mo1Nb1Ta1Ti1V1W1""",Results for exact spelling
